Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
BLANCKE,0821.855.363,BE0821.855.363,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"BLANCKE is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Groothandel in voedingsmiddelen,46321 - 46322 - 46389 - 70100,Oost-Vlaanderen,"Kouter 3, 9790 Wortegem-Petegem",1 - 10,€1M - €2M,app.bizzy.org/BE/0821855.363?utm_source=export&utm_medium=lists_xlsx
VERELST-RNA,0711.843.903,BE0711.843.903,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERELST-RNA biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,70220,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€0 - €1M,app.bizzy.org/BE/0711843.903?utm_source=export&utm_medium=lists_xlsx
WILLY NAESSENS AGRO,0897.170.816,BE0897.170.816,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"WILLY NAESSENS AGRO is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Teelt van gewassen,01110 - 01130 - 01500,Oost-Vlaanderen,"Kouter 3, 9790 Wortegem-Petegem",1 - 10,€0 - €1M,app.bizzy.org/BE/0897170.816?utm_source=export&utm_medium=lists_xlsx
AANNEMINGEN VERELST,0896.183.196,BE0896.183.196,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"AANNEMINGEN VERELST biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,64200,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€0 - €1M,app.bizzy.org/BE/0896183.196?utm_source=export&utm_medium=lists_xlsx
WILLY NAESSENS FOOD,0882.546.877,BE0882.546.877,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"WILLY NAESSENS FOOD is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Holdings,64200,Oost-Vlaanderen,"Kouter 3, 9790 Wortegem-Petegem",1 - 10,€0 - €1M,app.bizzy.org/BE/0882546.877?utm_source=export&utm_medium=lists_xlsx
WILLY NAESSENS BUILD,0804.497.907,BE0804.497.907,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"WILLY NAESSENS BUILD is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Holdings,64200 - 64200,Oost-Vlaanderen,"Kouter 3, 9790 Wortegem-Petegem",1 - 10,€0 - €1M,app.bizzy.org/BE/0804497.907?utm_source=export&utm_medium=lists_xlsx
GROEP VERELST,0478.654.121,BE0478.654.121,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst Bedrijfsbouw & Renovatie biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,68100 - 70220,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€0 - €1M,app.bizzy.org/BE/0478654.121?utm_source=export&utm_medium=lists_xlsx
TESSENDERLO CHEMIE INTERNATIONAL,0407.247.372,BE0407.247.372,info@tessenderlo.com,Geverifieerd,+32 2 639 18 11,Geverifieerd,www.tessenderlo.com/,tessenderlo,"Tessenderlo Group exploiteert een 425 MW gecombineerde cyclus gas turbine elektriciteitscentrale, die efficiënte en milieuvriendelijke elektriciteitsproductie biedt. Het maakt deel uit van de Tessenderlo Groep en fungeert als een Onafhankelijke Energieproducent.",Vervaardiging van chemische producten,20130 - 70100 - 70100 - 82990,Brussel,"Troonstraat 130, 1050 Ixelles",50 - 100,€10M - €50M,app.bizzy.org/BE/0407247.372?utm_source=export&utm_medium=lists_xlsx
TRANSPORT VERELST,0885.598.716,BE0885.598.716,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"TRANSPORT VERELST biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,49410 - 49410,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€1M - €2M,app.bizzy.org/BE/0885598.716?utm_source=export&utm_medium=lists_xlsx
VERELST WALLONIE,0880.915.495,BE0880.915.495,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERELST ABMT WALLONIE biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Bouw - Woningbouw,41201 - 41203,Liège,"Bld Emile-de-Laveleye 191, 4020 Liège",1 - 10,€0 - €1M,app.bizzy.org/BE/0880915.495?utm_source=export&utm_medium=lists_xlsx
Intesa Sanpaolo,0850.102.357,BE0850.102.357,sinistrixmp@insaluteservizi.com,Geverifieerd,+39 02 8710 9001,Geverifieerd,www.intesasanpaolo.com,intesasanpaolo,"Intesa Sanpaolo is een online bank die een breed scala aan financiële diensten en producten aanbiedt, waaronder betaalrekeningen, hypotheken, investeringen, verzekeringen en digitale betalingen.",Financiële diensten,66199 - 66199,,"Piazza San Carlo 156, 10121 Torino",1 - 10,€0 - €1M,app.bizzy.org/BE/0850102.357?utm_source=export&utm_medium=lists_xlsx
ENGINIUM PEOPLE & PROJECTS,0848.764.747,BE0848.764.747,info@enginiumgroup.com,Geverifieerd,+32 16 65 73 22,Geverifieerd,www.enginiumgroup.com,enginiumgroup,"ENGINIUM P&P is een gespecialiseerd wervingsbureau dat zich richt op het aannemen van ingenieurs en hooggeschoolde technici in verschillende sectoren, waaronder productie, civiele bouw, energie en luchtvaart.",Arbeidsbemiddeling - Human resources,63990 - 64200 - 68201 - 70210 - 78100 - 78100 - 82990,Vlaams-Brabant,"Mechelsesteenweg 531, 3020 Herent",1 - 10,€0 - €1M,app.bizzy.org/BE/0848764.747?utm_source=export&utm_medium=lists_xlsx
INSTITUT DE LA MEDIATION DANS L'ESPACE FRANCOPHONE,0843.295.234,BE0843.295.234,info@helmo.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,www.helmo.be,helmo,"IMEF biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,,Liège,"Mont Saint-Martin 41, 4000 Liège",1 - 10,€0 - €1M,app.bizzy.org/BE/0843295.234?utm_source=export&utm_medium=lists_xlsx
ADM GROUP,0835.498.612,BE0835.498.612,info@admgroup.be,Geverifieerd,+32 3 877 78 60,Geverifieerd,www.admgroup.be,admgroup,"ADM-Topo is een multidisciplinair kantoor van landmeetkundige experts dat gespecialiseerd is in landmetingen, taxaties, drones en 3D-scanning. Ze bieden een scala aan diensten aan, waaronder grensbepaling, volumemeting, pre-kadastrale onderzoeken en expertise op het gebied van vastgoedbeschrijving.",Landmeters,71121 - 71122 - 71122,Antwerpen,"Veldkant 29, 2550 Kontich",1 - 10,€1M - €2M,app.bizzy.org/BE/0835498.612?utm_source=export&utm_medium=lists_xlsx
EngineerX,0833.304.036,BE0833.304.036,hello@engineerx.com,Geverifieerd,+32 472 29 03 03,Geverifieerd,www.engineerx.com,engineerx,"EngineerX is een project sourcing bedrijf dat top mechanische, materiaal-, elektrische en luchtvaartingenieurs verbindt met grote industriële organisaties om te werken aan uitdagende en duurzame projecten. Ze bieden op maat gemaakte zoekopdrachten en selecteren zorgvuldig het juiste talent om aan de specifieke behoeften van hun klanten te voldoen.",Engineering,62020 - 70220 - 78100,Vlaams-Brabant,"Belgicastraat 5/ 2, 1930 Zaventem",10 - 20,€1M - €2M,app.bizzy.org/BE/0833304.036?utm_source=export&utm_medium=lists_xlsx
T.V.  D. STADSBADER FLAMAND N.V. - TRBA N.V.,0831.208.341,BE0831.208.341,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"T.V.  D. STADSBADER FLAMAND N.V. - TRBA N.V. is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw van infrastructuur - Woningbouw,,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0831208.341?utm_source=export&utm_medium=lists_xlsx
BIM PLAN,0820.266.048,BE0820.266.048,info@bimplan.be,Geverifieerd,+32 3 500 92 68,Geverifieerd,www.bimplan.be,bimplan,"BIM PLAN CVBA is een BIM-specialist die praktische toepassing van Bouwwerk Informatie Modellering (BIM) biedt voor alle belanghebbenden in de bouwsector. Ze bieden BIM-tekenwerk, advies, coördinatie en managementdiensten, evenals trainingscursussen en een BIM-academie.",Architectuur,71111 - 71111,Antwerpen,"Scherpenhoek 81, 2850 Boom",10 - 20,€2M - €5M,app.bizzy.org/BE/0820266.048?utm_source=export&utm_medium=lists_xlsx
85,0819.492.820,BE0819.492.820,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"85 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0819492.820?utm_source=export&utm_medium=lists_xlsx
WILLY NAESSENS INVEST,0804.498.105,BE0804.498.105,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be,willynaessens,"WILLY NAESSENS INVEST is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Holdings,64200,Oost-Vlaanderen,"Kouter 3, 9790 Wortegem-Petegem",1 - 10,€0 - €1M,app.bizzy.org/BE/0804498.105?utm_source=export&utm_medium=lists_xlsx
"Houben, An",0802.027.771,BE0802.027.771,info@houbennv.be,Geverifieerd,+32 11 26 96 00,Geverifieerd,www.houbennv.be,houbennv,"Houben, An is een vooruitstrevend bouwbedrijf dat zich richt op samenwerking en bouwen voor de toekomst. Ze bieden een complete service, delen hun kennis en leveren duurzame projecten met een langetermijnvisie.",Bouwarchitecten,55203,Limburg,"Regulierenplein 30, 3700 Tongeren",1 - 10,€0 - €1M,app.bizzy.org/BE/0802027.771?utm_source=export&utm_medium=lists_xlsx
Bimefy,0800.764.890,BE0800.764.890,hello@bimefy.com,Geverifieerd,+32 492 39 92 45,Geverifieerd,www.bimefy.com,bimefy,"Bimefy is een bedrijf dat gespecialiseerd is in het leveren van BIM- en softwareoplossingen aan architecten, ontwikkelaars en bouwbedrijven, waardoor bouwprojecten efficiënter worden door datagestuurde samenwerking en een uitgebreid scala aan BIM-diensten.",Grafisch ontwerp - Ontwerpdiensten,62010 - 62020 - 70210 - 71113 - 74103 - 82300 - 85592,Limburg,"Engsbergseweg 36A, 3980 Tessenderlo",1 - 10,€0 - €1M,app.bizzy.org/BE/0800764.890?utm_source=export&utm_medium=lists_xlsx
"Vandenbussche, Bertold",0795.029.618,BE0795.029.618,info@vandenbusschebouw.be,Geverifieerd,+32 9 325 75 47,Geverifieerd,www.vandenbusschebouw.be,vandenbusschebouw,"Vandenbussche, Bertold is een algemeen aannemersbedrijf in klasse 8 dat gespecialiseerd is in nieuwbouw- en renovatieprojecten voor appartementen, kantoren, scholen, zorgcentra en sportcomplexen. Ze bieden een scala aan diensten aan, van studie en ontwerp tot constructie en afwerking, waarbij zowel traditionele als innovatieve bouwmethoden worden toegepast.",Woningbouw,90011,West-Vlaanderen,"Hoogstraat 85, 8800 Roeselare",1 - 10,€0 - €1M,app.bizzy.org/BE/0795029.618?utm_source=export&utm_medium=lists_xlsx
TM Stadsbader DSG,0794.972.210,BE0794.972.210,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"TM Stadsbader DSG is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0794972.210?utm_source=export&utm_medium=lists_xlsx
IT Association for Construction and Innovation,0793.918.472,BE0793.918.472,info@bplusarchitecten.be,Geverifieerd,+32 89 25 22 33,Geverifieerd,www.bplusarchitecten.be,bplusarchitecten,ITACI is een multidisciplinair ontwerpteam dat zich richt op het creëren van duurzame ontwerpen met toegevoegde waarde voor gebruikers en de samenleving.,Architectuur - Bouwarchitecten - Interieurarchitecten - Interieurontwerp - Stadsarchitecten,,Limburg,"Zagerijstraat 39/ 1, 3600 Genk",1 - 10,€0 - €1M,app.bizzy.org/BE/0793918.472?utm_source=export&utm_medium=lists_xlsx
TM Stadsbader VDPC,0791.607.595,BE0791.607.595,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"TM Stadsbader VDPC is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0791607.595?utm_source=export&utm_medium=lists_xlsx
TM Stadsbader TRBA,0789.826.359,BE0789.826.359,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"TM Stadsbader TRBA is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0789826.359?utm_source=export&utm_medium=lists_xlsx
PENSAERT & PARTNERS,0781.481.983,BE0781.481.983,info@pensaert-partners.com,Geverifieerd,+32 499 89 10 79,Geverifieerd,www.pensaert-partners.com,pensaert-partners,"PENSAERT & PARTNERS is een wervingsbureau dat gespecialiseerd is in het plaatsen van de juiste kandidaten in de juiste functies, met de nadruk op kwaliteit boven kwantiteit en het bieden van open en transparante communicatie gedurende het proces.",Human resources - Talent managers,70210 - 70220 - 78100 - 78100,Oost-Vlaanderen,"Rijvisschepark 74, 9052 Zwijnaarde",1 - 10,€2M - €5M,app.bizzy.org/BE/0781481.983?utm_source=export&utm_medium=lists_xlsx
Beams,0775.783.432,BE0775.783.432,info@wearebeams.com,Geverifieerd,+32 475 39 70 16,Geverifieerd,www.wearebeams.com,wearebeams,"BEAMS is een strategische langetermijn BIM-partner die bedrijven helpt om 'BIM-klaar' te worden door gepersonaliseerde en transparante diensten aan te bieden, waaronder BIM-training, softwareautomatisering en IT-ondersteuning. Ze brengen uitzonderlijk BIM-talent en expertise om bedrijven te helpen groeien in digitale bouw.",Computer consultancy,62020 - 62020 - 62090,Vlaams-Brabant,"Grauwmeer 1/ 24, 3001 Heverlee",1 - 10,€1M - €2M,app.bizzy.org/BE/0775783.432?utm_source=export&utm_medium=lists_xlsx
Mercury Engineering Belgium,0773.814.431,BE0773.814.431,info@mercuryeng.com,Geverifieerd,+353 1 216 3000,Geverifieerd,www.mercuryeng.com,mercuryeng,"Mercury Engineering Belgium is een Europese aannemer die gespecialiseerd is in het bouwen en beheren van complexe technische projecten in verschillende sectoren, waaronder bouw, datatechnologie diensten en gezondheidszorg. Ze staan bekend om hun vastberadenheid, innovatie en het leveren van toonaangevende bouwoplossingen.",Bouw - Woningbouw,41201 - 41202 - 41203 - 71121,Brussel,"Havenlaan 86C, 1000 Brussel",10 - 20,€10M - €50M,app.bizzy.org/BE/0773814.431?utm_source=export&utm_medium=lists_xlsx
TM Stadsbader - CSM,0772.588.766,BE0772.588.766,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"TM Stadsbader - CSM is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw,41203,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0772588.766?utm_source=export&utm_medium=lists_xlsx
ONEBIM,0770.772.490,BE0770.772.490,info@onebim.team,Geverifieerd,+32 476 48 97 05,Geverifieerd,www.onebim.team,onebim,"Onebim is een bouwbedrijf dat kennis en technologie combineert om innovatie in de industrie te stimuleren. Ze bieden een scala aan diensten aan, waaronder projectontwerp, -beheer, -verificatie en BIM-coördinatie.",Architectuur - Bouwarchitecten,63990 - 71111 - 71121 - 85599,West-Vlaanderen,"Beneluxlaan 1/ A, 8500 Kortrijk",1 - 10,€0 - €1M,app.bizzy.org/BE/0770772.490?utm_source=export&utm_medium=lists_xlsx
Homij Technische Installaties bv,0763.574.595,BE0763.574.595,com@homij.nl,Geverifieerd,+31 88 186 9400,Geverifieerd,www.homij.nl,homij,"Homij Technische Installaties bv creëert toekomstbestendige gebouwen en woningen met een gezond binnenklimaat door comfort en duurzaamheid te integreren in het reguliere onderhoud van technische installaties. Ze zijn gespecialiseerd in duurzaamheid, renovatie en nieuwbouw in verschillende marktsegmenten.",Interieurontwerp,,Vijfheerenlanden,"Lange Dreef 7, 4131NJ Vianen",1 - 10,€0 - €1M,app.bizzy.org/BE/0763574.595?utm_source=export&utm_medium=lists_xlsx
ENITEQ,0758.778.144,BE0758.778.144,genk@eniteq.be,Geverifieerd,+32 89 68 02 84,Geverifieerd,www.eniteq.be,eniteq,"Eniteq Genk / 01E is een gespecialiseerd wervingsbureau dat ambitieuze bedrijven verbindt met getalenteerde technische professionals, met de focus op ingenieurs- en technisch personeel. Met meer dan 10 jaar ervaring en een uitgebreid netwerk streeft Eniteq Genk / 01E naar de perfecte match tussen werkgevers en kandidaten.",Arbeidsbemiddeling - Human resources,78200 - 78200,Antwerpen,"Lange Klarenstraat 19, 2000 Antwerpen",1 - 10,€10M - €50M,app.bizzy.org/BE/0758778.144?utm_source=export&utm_medium=lists_xlsx
"Patriarche, Frédéric",0756.682.647,BE0756.682.647,info@patriarche.fr,Geverifieerd,+32 479 56 39 81,Geverifieerd,www.patriarche.fr,patriarche,"Belgi-Burg is een architectuur-, ingenieurs- en ontwerpbureau dat een scala aan diensten aanbiedt, waaronder interieurinrichting, digitale oplossingen voor de bouwsector en exploitatiediensten.",Bouw,10392 - 25620 - 43120 - 43390 - 43999 - 47112 - 47810 - 56102 - 56102 - 81290 - 81300 - 95290,Luxemburg,"Marloie, Place de la Gare 1, 6900 Aye",1 - 10,€0 - €1M,app.bizzy.org/BE/0756682.647?utm_source=export&utm_medium=lists_xlsx
EGIS AVIA,0750.974.196,BE0750.974.196,dpo.egis@egis.fr,Geverifieerd,+33 1 39 41 40 00,Geverifieerd,www.egis-group.com,egis-group,"EGIS AVIATION BELGIUM is een wereldwijd ingenieurs- en exploitatiebedrijf dat samenwerkt met klanten om duurzame en veerkrachtige infrastructuuroplossingen te creëren in verschillende sectoren, waaronder transport, gebouwen, energie en water. Met een sterk lokaal netwerk dat zich uitstrekt over meer dan 100 landen, combineert EGIS AVIATION BELGIUM technische expertise met nauwe samenwerking om intelligente infrastructuur te ontwerpen en te exploiteren die de klimaatcrisis aanpakt en evenwichtige ontwikkeling bevordert.",Engineering,70220 - 71121 - 71121 - 72190 - 74909,Yvelines,"AVENUE DU CENTRE 15, 78280 Guyancourt",1 - 10,€0 - €1M,app.bizzy.org/BE/0750974.196?utm_source=export&utm_medium=lists_xlsx
DATA-BUILD,0749.729.331,BE0749.729.331,info@data-build.be,Geverifieerd,+32 497 75 66 88,Geverifieerd,www.data-build.be,data-build,"DATA-BUILD is een partner die gespecialiseerd is in Bouw Informatie Management (BIM) en praktische oplossingen biedt voor coördinatie, communicatie en transparantie in virtuele bouwprojecten. Ze bieden diensten aan zoals BIM-beheer, modellering, coördinatie, advies, engineering, automatisering en training om de efficiëntie en waarde van projecten te verhogen.",Data analytics,62020 - 62090 - 63110 - 70220 - 74909,Antwerpen,"Dennenlaan 10, 2910 Essen",1 - 10,€0 - €1M,app.bizzy.org/BE/0749729.331?utm_source=export&utm_medium=lists_xlsx
VERELST BOUW,0748.677.672,BE0748.677.672,info@verelst.be,Geverifieerd,+32 476 99 72 23,Geverifieerd,www.verelst.be,verelst,"VERELST BOUW biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Bouw - Groothandel in bouwproducten - Sloopwerkzaamheden - Woningbouw,25501 - 41201 - 41203 - 43110 - 46731 - 64200,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€0 - €1M,app.bizzy.org/BE/0748677.672?utm_source=export&utm_medium=lists_xlsx
TM EEG/VMA - DE LICHTERVELDE,0746.616.720,BE0746.616.720,info@eeg.be,Geverifieerd,+32 81 21 27 02,Geverifieerd,www.eeg.be,eeg,"TM EEG/VMA - DE LICHTERVELDE is een bedrijf dat gespecialiseerd is in HVAC-uitvoering, met de focus op duurzaam comfort in gebouwen door de integratie van technieken.",Elektrische installatiewerkzaamheden,43211,West-Vlaanderen,"Oostlaan 5, 8560 Wevelgem",1 - 10,€0 - €1M,app.bizzy.org/BE/0746616.720?utm_source=export&utm_medium=lists_xlsx
ZOLAR,0746.464.191,BE0746.464.191,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"ZOLAR biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Vastgoedontwikkeling,41101 - 41102,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",1 - 10,€0 - €1M,app.bizzy.org/BE/0746464.191?utm_source=export&utm_medium=lists_xlsx
Upgrade Solidarity,0745.864.672,BE0745.864.672,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"Upgrade Solidarity is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Verenigingen,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0745864.672?utm_source=export&utm_medium=lists_xlsx
I Upgrade,0743.580.521,BE0743.580.521,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"I Upgrade is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743580.521?utm_source=export&utm_medium=lists_xlsx
103,0743.481.145,BE0743.481.145,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"103 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743481.145?utm_source=export&utm_medium=lists_xlsx
102,0743.480.353,BE0743.480.353,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"102 is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",,,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",1 - 10,€0 - €1M,app.bizzy.org/BE/0743480.353?utm_source=export&utm_medium=lists_xlsx
